variable_name,description
V413G,NA - Gave child CS liquid
V413H,NA - Gave child CS liquid
V413I,NA - Gave child CS liquid
V414A,Gave child any other vegetables
V414B,"Gave child sausages, hot dogs, frankfurters, ha 4732"
V414C,"Gave child nuts, seeds"
V414D,Gave child any insects
V414E,"Gave child bread, noodles, other made from grai 4735"
V414F,"Gave child plantains, potatoes, cassava, or oth 4736"
V414G,Gave child eggs
V414H,"Gave child any other meat (beef, pork, lamb, ch 4738"
V414I,"Gave child pumpkin, carrots, squash (yellow or"
V414J,Gave child any dark green leafy vegetables
V414K,"Gave child mangoes, papayas, other vitamin A fr 4741"
V414L,Gave child any other fruits
V414M,"Gave child liver, heart, other organs"
V414N,Gave child fish or shellfish
V414O,"Gave child food made from beans, peas, lentils"
V414P,Gave child hard/soft cheese
V414Q,"NA - Gave child oil, fats, butter, products mad 4747"
V414R,"Gave child chocolates, sweets, candies, pastrie 4748"
V414S,Gave child other solid-semisolid food
V414T,"Gave child chips, crisps, french fries, fried d 4750"
V414U,Gave child red palm oil
V414V,Gave child yogurt
V414W,"Gave child sweet foods such as candy, sweet pea 4753"
V414WA,NA - Gave child CS foods
V414WB,NA - Gave child CS foods
V414WC,NA - Gave child CS foods
V414WD,NA - Gave child CS foods
V414WE,NA - Gave child CS foods
V465,Disposal of youngest child's stools when not us 4759
V469E,Times gave child powdered/tinned/fresh milk
V469F,Times gave child infant formula
V469X,Times gave child yogurt
V486,"Last 6 months, health care provider advised wha 4764"
HIDX,Index to birth history
H1,Has health card
H1A,Has health card and or other vaccination docume 4777
H2,Received BCG
H2D,BCG day
H2M,BCG month
H2Y,BCG year
H3,Received DPT 1
H3D,DPT 1 day
H3M,DPT 1 month
H3Y,DPT 1 year
H4,Received POLIO 1
H4D,POLIO 1 day
H4M,POLIO 1 month
H4Y,POLIO 1 year
H5,Received DPT 2
H5D,DPT 2 day
H5M,DPT 2 month
H5Y,DPT 2 year
H6,Received POLIO 2
H6D,POLIO 2 day
H6M,POLIO 2 month
H6Y,POLIO 2 year
H7,Received DPT 3
H7D,DPT 3 day
H7M,DPT 3 month
H7Y,DPT 3 year
H8,Received POLIO 3
H8D,POLIO 3 day
H8M,POLIO 3 month
H8Y,POLIO 3 year
H9,Received MEASLES 1
H9D,MEASLES 1 day
H9M,MEASLES 1 month
H9Y,MEASLES 1 year
H9A,NA - Received MEASLES 2
H9AD,NA - MEASLES 2 day
H9AM,NA - MEASLES 2 month
H9AY,NA - MEASLES 2 year
H0,Received POLIO 0
H0D,POLIO 0 day
H0M,POLIO 0 month
H0Y,POLIO 0 year
H10,Ever had vaccination
H25D,Day of birth from vaccination card
H25M,Month of birth from vaccination card
H25Y,Year of birth from vaccination card
H26,Photograph of vaccination card available
H33,Received Vitamin A1 (most recent)
H33D,Vitamin A1 day
H33M,Vitamin A1 month
H33Y,Vitamin A1 year
H40,NA - Received Vitamin A2 (2nd most recent)
H40D,NA - Vitamin A2 day
H40M,NA - Vitamin A2 month
H40Y,NA - Vitamin A2 year
H50,NA - Received Hepatitis B at birth
H50D,NA - Hepatitis B at birth day
H50M,NA - Hepatitis B at birth month
H50Y,NA - Hepatitis B at birth year
H51,Received Pentavalent 1
H51D,Pentavalent 1 day
H51M,Pentavalent 1 month
H51Y,Pentavalent 1 year
H52,Received Pentavalent 2
H52D,Pentavalent 2 day
H52M,Pentavalent 2 month
H52Y,Pentavalent 2 year
H53,Received Pentavalent 3
H53D,Pentavalent 3 day
H53M,Pentavalent 3 month
H53Y,Pentavalent 3 year
H54,Received Pneumococcal 1
H54D,Pneumococcal 1 day
H54M,Pneumococcal 1 month
H54Y,Pneumococcal 1 year
H55,Received Pneumococcal 2
H55D,Pneumococcal 2 day
H55M,Pneumococcal 2 month
H55Y,Pneumococcal 2 year
H56,Received Pneumococcal 3
H56D,Pneumococcal 3 day
H56M,Pneumococcal 3 month
H56Y,Pneumococcal 3 year
H57,Received Rotavirus 1
H57D,Rotavirus 1 day
H57M,Rotavirus 1 month
H57Y,Rotavirus 1 year
H58,Received Rotavirus 2
H58D,Rotavirus 2 day
H58M,Rotavirus 2 month
H58Y,Rotavirus 2 year
H59,Received Rotavirus 3
H59D,Rotavirus 3 day
H59M,Rotavirus 3 month
H59Y,Rotavirus 3 year
H60,Received inactivated polio (IPV)
H60D,Inactivated polio (IPV) day
H60M,Inactivated polio (IPV) month
H60Y,Inactivated polio (IPV) year
H61,Received Hepatitis B 1
H61D,Hepatitis B 1 day
H61M,Hepatitis B 1 month
H61Y,Hepatitis B 1 year
H62,Received Hepatitis B 2
H62D,Hepatitis B 2 day
H62M,Hepatitis B 2 month
H62Y,Hepatitis B 2 year
H63,Received Hepatitis B 3
H63D,Hepatitis B 3 day
H63M,Hepatitis B 3 month
H63Y,Hepatitis B 3 year
H64,Received HiB 1
H64D,HiB 1 day
H64M,HiB 1 month
H64Y,HiB 1 year
H65,Received HiB 2
H65D,HiB 2 day
H65M,HiB 2 month
H65Y,HiB 2 year
H66,Received HiB 3
H66D,HiB 3 day
H66M,HiB 3 month
H66Y,HiB 3 year
